question_id,set,difficulty,time_limit_ms,mode,instruction_en,instruction_hi,option_1,option_2,option_3,correct_positions,category,trap,twist_eligible,points
Q000021,daily-002,1,4000,go,TAP 64,64 पर टैप करें,16,5,64,3,mixed,,no,10
Q000022,daily-002,1,4000,rule,TAP THE EVEN NUMBER,सम संख्या पर टैप करें,74,33,71,1,even,,no,12
Q000023,daily-002,2,3200,go,TAP HEART,HEART पर टैप करें,DIAMOND,HEART,NAGPUR,2,mixed,,no,12
Q000024,daily-002,2,3200,except,TAP BOTH EXCEPT BELL,BELL छोड़कर बाकी दोनों पर टैप करें,MIRROR,BELL,DOOR,"1,3",mixed,,no,17
Q000025,daily-002,2,3200,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,RIGHT,MIDDLE,LEFT,1,position,slot_conflict,yes,14
Q000026,daily-002,3,2600,go,TAP STUMPS,STUMPS पर टैप करें,RUNOUT,STUMPS,COOK,2,mixed,,yes,13
Q000027,daily-002,3,2600,go,TAP GARDEN,GARDEN पर टैप करें,GARDEN,NOON,BAISAKHI,1,mixed,,yes,13
Q000028,daily-002,3,2600,rule,TAP THE FESTIVAL,त्योहार पर टैप करें,BELL,DEW,EID,3,festival,,no,16
Q000029,daily-002,3,2600,rule,TAP THE VEHICLE,वाहन पर टैप करें,AUTO,MARKET,BELL,1,vehicle,,no,16
Q000030,daily-002,4,2100,go,TAP EVENING,EVENING पर टैप करें,EVENING,WINDOW,MONDAY,1,mixed,,yes,15
Q000031,daily-002,4,2100,except,TAP BOTH EXCEPT MAP,MAP छोड़कर बाकी दोनों पर टैप करें,CUBE,PEACOCK,MAP,"1,2",mixed,,no,23
Q000032,daily-002,4,2100,go,TAP SCOOTER,SCOOTER पर टैप करें,DOOR,SCOOTER,FROST,2,mixed,,yes,15
Q000033,daily-002,4,2100,rule,TAP THE BIGGEST NUMBER,सबसे बड़ी संख्या पर टैप करें,2,14,88,3,biggest,,yes,18
Q000034,daily-002,4,2100,rule,TAP THE COLOUR,रंग पर टैप करें,RAINY,TABLA,BROWN,3,colour,,yes,18
Q000035,daily-002,5,1700,rule,TAP THE COLOUR,रंग पर टैप करें,TEACHER,RED,MOUSE,2,colour,,yes,21
Q000036,daily-002,5,1700,go,TAP COCONUT,COCONUT पर टैप करें,HEART,PATNA,COCONUT,3,mixed,,yes,18
Q000037,daily-002,5,1700,except,TAP BOTH EXCEPT BIRYANI,BIRYANI छोड़कर बाकी दोनों पर टैप करें,JALEBI,BIRYANI,DUSSEHRA,"1,3",mixed,,no,26
Q000038,daily-002,5,1700,hold,DON'T TAP IF YOU SEE JEEP,अगर JEEP दिखे तो टैप न करें,PEN,DEER,JEEP,,mixed,no_go,no,26
Q000039,daily-002,5,1700,hold,DON'T TAP IF YOU SEE BUS,अगर BUS दिखे तो टैप न करें,TRACTOR,SHAWL,FLUTE,"1,2,3",mixed,,no,26
Q000040,daily-002,5,1700,rule,TAP THE FESTIVAL,त्योहार पर टैप करें,HOLI,CUBE,CIRCLE,1,festival,,yes,21
Q000041,daily-003,1,4000,go,TAP 75,75 पर टैप करें,75,26,30,1,mixed,,no,10
Q000042,daily-003,1,4000,hold,DON'T TAP IF YOU SEE JAIPUR,अगर JAIPUR दिखे तो टैप न करें,DUSSEHRA,PLATE,JAIPUR,,mixed,no_go,no,15
Q000043,daily-003,2,3200,go,TAP 7,7 पर टैप करें,7,90,52,1,mixed,,no,12
Q000044,daily-003,2,3200,rule,TAP THE VEHICLE,वाहन पर टैप करें,GOAT,BREEZE,CYCLE,3,vehicle,,no,14
Q000045,daily-003,2,3200,rule,TAP THE CITY,शहर पर टैप करें,DOCTOR,HOSPITAL,PUNE,3,city,,no,14
Q000046,daily-003,3,2600,go,TAP HYDERABAD,HYDERABAD पर टैप करें,POMEGRANATE,PINK,HYDERABAD,3,mixed,,yes,13
Q000047,daily-003,3,2600,go,TAP JALEBI,JALEBI पर टैप करें,JALEBI,HELMET,CAMEL,1,mixed,,yes,13
Q000048,daily-003,3,2600,hold,DON'T TAP IF YOU SEE TOOTH,अगर TOOTH दिखे तो टैप न करें,MUMBAI,KOCHI,BROWN,"1,2,3",mixed,,no,20
Q000049,daily-003,3,2600,go,TAP BAG,BAG पर टैप करें,EYE,BAT,BAG,3,mixed,lookalike,yes,13
Q000050,daily-003,4,2100,hold,DON'T TAP IF YOU SEE TEMPLE,अगर TEMPLE दिखे तो टैप न करें,GUAVA,SHIRT,TEMPLE,,mixed,no_go,no,23
Q000051,daily-003,4,2100,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,LEFT,MIDDLE,RIGHT,3,position,,yes,18
Q000052,daily-003,4,2100,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,LEFT,RIGHT,MIDDLE,3,position,slot_conflict,yes,18
Q000053,daily-003,4,2100,hold,DON'T TAP IF YOU SEE PAPAYA,अगर PAPAYA दिखे तो टैप न करें,FRIDAY,PAPAYA,TABLE,,mixed,no_go,no,23
Q000054,daily-003,4,2100,rule,TAP THE SHAPE,आकृति पर टैप करें,DIAMOND,LYCHEE,OVER,1,shape,,yes,18
Q000055,daily-003,5,1700,except,TAP BOTH EXCEPT RULER,RULER छोड़कर बाकी दोनों पर टैप करें,LYCHEE,RULER,MOUSE,"1,3",mixed,,no,26
Q000056,daily-003,5,1700,go,TAP TEN,TEN पर टैप करें,10,38,TEN,3,mixed,digit_word,yes,18
Q000057,daily-003,5,1700,go,TAP 5,5 पर टैप करें,72,5,FIVE,2,mixed,digit_word,yes,18
Q000058,daily-003,5,1700,go,TAP CLOCK,CLOCK पर टैप करें,CLOCK,ELBOW,CUBE,1,mixed,,yes,18
Q000059,daily-003,5,1700,except,TAP BOTH EXCEPT MOUSE,MOUSE छोड़कर बाकी दोनों पर टैप करें,SUNNY,CHAIR,MOUSE,"1,2",mixed,,no,26
Q000060,daily-003,5,1700,except,TAP BOTH EXCEPT TEMPLE,TEMPLE छोड़कर बाकी दोनों पर टैप करें,TRIANGLE,WINDOW,TEMPLE,"1,2",mixed,,no,26
Q000061,daily-004,1,4000,except,TAP BOTH EXCEPT GRAPES,GRAPES छोड़कर बाकी दोनों पर टैप करें,GRAPES,PEN,STAR,"2,3",mixed,,no,15
Q000062,daily-004,1,4000,rule,TAP THE FESTIVAL,त्योहार पर टैप करें,HAND,GREEN,PONGAL,3,festival,,no,12
Q000063,daily-004,2,3200,rule,TAP THE BIGGEST NUMBER,सबसे बड़ी संख्या पर टैप करें,24,89,6,2,biggest,,no,14
Q000064,daily-004,2,3200,go,TAP DIWALI,DIWALI पर टैप करें,COOK,DIWALI,BEAT,2,mixed,,no,12
Q000065,daily-004,2,3200,rule,TAP THE EVEN NUMBER,सम संख्या पर टैप करें,53,2,77,2,even,,no,14
Q000066,daily-004,3,2600,hold,DON'T TAP IF YOU SEE CUBE,अगर CUBE दिखे तो टैप न करें,SONG,CUBE,RIVER,,mixed,no_go,no,20
Q000067,daily-004,3,2600,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,LEFT,RIGHT,MIDDLE,2,position,slot_conflict,yes,16
Q000068,daily-004,3,2600,except,TAP BOTH EXCEPT BOAT,BOAT छोड़कर बाकी दोनों पर टैप करें,EID,MIRROR,BOAT,"1,2",mixed,,no,20
Q000069,daily-004,3,2600,except,TAP BOTH EXCEPT PAPAYA,PAPAYA छोड़कर बाकी दोनों पर टैप करें,COW,PAPAYA,HEART,"1,3",mixed,,no,20
Q000070,daily-004,4,2100,go,TAP PAPAYA,PAPAYA पर टैप करें,MOON,PAPAYA,INDORE,2,mixed,,yes,15
Q000071,daily-004,4,2100,hold,DON'T TAP IF YOU SEE LADDU,अगर LADDU दिखे तो टैप न करें,OFFICE,CUBE,LADDU,,mixed,no_go,no,23
Q000072,daily-004,4,2100,except,TAP BOTH EXCEPT CHAPATI,CHAPATI छोड़कर बाकी दोनों पर टैप करें,CHAPATI,PONGAL,LUCKNOW,"2,3",mixed,,no,23
Q000073,daily-004,4,2100,hold,DON'T TAP IF YOU SEE ELBOW,अगर ELBOW दिखे तो टैप न करें,TRAIN,BLACK,PINK,"1,2,3",mixed,,no,23
Q000074,daily-004,4,2100,go,TAP IDLI,IDLI पर टैप करें,SONG,IDLI,STONE,2,mixed,,yes,15
Q000075,daily-004,5,1700,hold,DON'T TAP IF YOU SEE PARROT,अगर PARROT दिखे तो टैप न करें,STATION,MOUSE,VADA,"1,2,3",mixed,,no,26
Q000076,daily-004,5,1700,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,LEFT,RIGHT,MIDDLE,3,position,slot_conflict,yes,21
Q000077,daily-004,5,1700,rule,TAP THE COLOUR,रंग पर टैप करें,FRIDAY,BLUE,DUSSEHRA,2,colour,,yes,21
Q000078,daily-004,5,1700,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,MIDDLE,LEFT,RIGHT,2,position,slot_conflict,yes,21
Q000079,daily-004,5,1700,hold,DON'T TAP IF YOU SEE MOUSE,अगर MOUSE दिखे तो टैप न करें,COCONUT,PARROT,MOUSE,,mixed,no_go,no,26
Q000080,daily-004,5,1700,go,TAP CROWN,CROWN पर टैप करें,BARBER,CROW,CROWN,3,mixed,lookalike,yes,18
Q000081,daily-005,1,4000,hold,DON'T TAP IF YOU SEE CURD,अगर CURD दिखे तो टैप न करें,CURD,RAIN,HORSE,,mixed,no_go,no,15
Q000082,daily-005,1,4000,hold,DON'T TAP IF YOU SEE CYCLE,अगर CYCLE दिखे तो टैप न करें,CYCLE,KHEER,SITAR,,mixed,no_go,no,15
Q000083,daily-005,2,3200,hold,DON'T TAP IF YOU SEE STORM,अगर STORM दिखे तो टैप न करें,PLATE,SPOON,DEER,"1,2,3",mixed,,no,17
Q000084,daily-005,2,3200,go,TAP 33,33 पर टैप करें,19,89,33,3,mixed,,no,12
Q000085,daily-005,2,3200,hold,DON'T TAP IF YOU SEE FIELD,अगर FIELD दिखे तो टैप न करें,PEN,HYDERABAD,FIELD,,mixed,no_go,no,17
Q000086,daily-005,3,2600,go,TAP PATNA,PATNA पर टैप करें,TOMORROW,JACKFRUIT,PATNA,3,mixed,,yes,13
Q000087,daily-005,3,2600,go,TAP ELEVEN,ELEVEN पर टैप करें,83,11,ELEVEN,3,mixed,digit_word,yes,13
Q000088,daily-005,3,2600,rule,TAP THE EVEN NUMBER,सम संख्या पर टैप करें,71,75,54,3,even,,no,16
Q000089,daily-005,3,2600,except,TAP BOTH EXCEPT TABLA,TABLA छोड़कर बाकी दोनों पर टैप करें,NAVRATRI,HAND,TABLA,"1,2",mixed,,no,20
Q000090,daily-005,4,2100,except,TAP BOTH EXCEPT BENCH,BENCH छोड़कर बाकी दोनों पर टैप करें,BENCH,PONGAL,CHALK,"2,3",mixed,,no,23
Q000091,daily-005,4,2100,go,TAP 79,79 पर टैप करें,79,EIGHT,8,1,mixed,digit_word,yes,15
Q000092,daily-005,4,2100,go,TAP RIVER,RIVER पर टैप करें,IDLI,RIVER,BLUE,2,mixed,,yes,15
Q000093,daily-005,4,2100,hold,DON'T TAP IF YOU SEE JACKFRUIT,अगर JACKFRUIT दिखे तो टैप न करें,JACKFRUIT,BAT,PICKLE,,mixed,no_go,no,23
Q000094,daily-005,4,2100,go,TAP BUFFALO,BUFFALO पर टैप करें,KNEE,BUFFALO,PUNE,2,mixed,,yes,15
Q000095,daily-005,5,1700,rule,TAP THE COLOUR,रंग पर टैप करें,GRAPES,CYCLE,RED,3,colour,,yes,21
Q000096,daily-005,5,1700,except,TAP BOTH EXCEPT DEER,DEER छोड़कर बाकी दोनों पर टैप करें,NIGHT,DEER,SHOP,"1,3",mixed,,no,26
Q000097,daily-005,5,1700,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,MIDDLE,LEFT,RIGHT,2,position,slot_conflict,yes,21
Q000098,daily-005,5,1700,rule,TAP THE SMALLEST NUMBER,सबसे छोटी संख्या पर टैप करें,13,26,77,1,smallest,,yes,21
Q000099,daily-005,5,1700,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,MIDDLE,RIGHT,LEFT,1,position,slot_conflict,yes,21
Q000100,daily-005,5,1700,rule,TAP THE SHAPE,आकृति पर टैप करें,NOON,STAR,EID,2,shape,,yes,21
Q000101,daily-006,1,4000,go,TAP TABLA,TABLA पर टैप करें,BRIDGE,KURTA,TABLA,3,mixed,,no,10
Q000102,daily-006,1,4000,except,TAP BOTH EXCEPT SCOOTER,SCOOTER छोड़कर बाकी दोनों पर टैप करें,SCOOTER,STONE,PONGAL,"2,3",mixed,,no,15
Q000103,daily-006,2,3200,go,TAP EYE,EYE पर टैप करें,GUAVA,EYE,GOLDEN,2,mixed,,no,12
Q000104,daily-006,2,3200,go,TAP PICKLE,PICKLE पर टैप करें,PICKLE,BAISAKHI,GOLDEN,1,mixed,,no,12
Q000105,daily-006,2,3200,go,TAP STUMPS,STUMPS पर टैप करें,PONGAL,STUMPS,GREEN,2,mixed,,no,12
Q000106,daily-006,3,2600,except,TAP BOTH EXCEPT TABLE,TABLE छोड़कर बाकी दोनों पर टैप करें,GOAT,HAIL,TABLE,"1,2",mixed,,no,20
Q000107,daily-006,3,2600,go,TAP DOOR,DOOR पर टैप करें,DOOR,HALWA,DOOM,1,mixed,lookalike,yes,13
Q000108,daily-006,3,2600,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,MIDDLE,LEFT,RIGHT,1,position,slot_conflict,yes,16
Q000109,daily-006,3,2600,go,TAP GREEN,GREEN पर टैप करें,FROST,BROOM,GREEN,3,mixed,,yes,13
Q000110,daily-006,4,2100,go,TAP BOOK,BOOK पर टैप करें,BRIDGE,BOOK,BOOT,2,mixed,lookalike,yes,15
Q000111,daily-006,4,2100,go,TAP RABBIT,RABBIT पर टैप करें,SAREE,RABBIT,DIAMOND,2,mixed,,yes,15
Q000112,daily-006,4,2100,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,RIGHT,LEFT,MIDDLE,3,position,slot_conflict,yes,18
Q000113,daily-006,4,2100,hold,DON'T TAP IF YOU SEE ORANGE,अगर ORANGE दिखे तो टैप न करें,ORANGE,COOK,STATION,,mixed,no_go,no,23
Q000114,daily-006,4,2100,rule,TAP THE CITY,शहर पर टैप करें,JEEP,PATNA,FLOWER,2,city,,yes,18
Q000115,daily-006,5,1700,rule,TAP THE COLOUR,रंग पर टैप करें,DIWALI,LEAF,BROWN,3,colour,,yes,21
Q000116,daily-006,5,1700,go,TAP 3,3 पर टैप करें,91,3,THREE,2,mixed,digit_word,yes,18
Q000117,daily-006,5,1700,except,TAP BOTH EXCEPT CLOUDY,CLOUDY छोड़कर बाकी दोनों पर टैप करें,CLOUDY,RULER,SNAKE,"2,3",mixed,,no,26
Q000118,daily-006,5,1700,except,TAP BOTH EXCEPT DHOL,DHOL छोड़कर बाकी दोनों पर टैप करें,DAL,CHENNAI,DHOL,"1,2",mixed,,no,26
Q000119,daily-006,5,1700,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,RIGHT,LEFT,MIDDLE,2,position,slot_conflict,yes,21
Q000120,daily-006,5,1700,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,MIDDLE,LEFT,RIGHT,3,position,,yes,21
Q000121,daily-007,1,4000,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,RIGHT,LEFT,MIDDLE,3,position,slot_conflict,yes,12
Q000122,daily-007,1,4000,go,TAP 26,26 पर टैप करें,26,22,83,1,mixed,,no,10
Q000123,daily-007,2,3200,hold,DON'T TAP IF YOU SEE CUSTARD APPLE,अगर CUSTARD APPLE दिखे तो टैप न करें,CUSTARD APPLE,TEACHER,RAIN,,mixed,no_go,no,17
Q000124,daily-007,2,3200,go,TAP 71,71 पर टैप करें,71,67,65,1,mixed,,no,12
Q000125,daily-007,2,3200,rule,TAP THE BIGGEST NUMBER,सबसे बड़ी संख्या पर टैप करें,90,18,53,1,biggest,,no,14
Q000126,daily-007,3,2600,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,LEFT,RIGHT,MIDDLE,3,position,slot_conflict,yes,16
Q000127,daily-007,3,2600,except,TAP BOTH EXCEPT WATERMELON,WATERMELON छोड़कर बाकी दोनों पर टैप करें,CHALK,WATERMELON,NIGHT,"1,3",mixed,,no,20
Q000128,daily-007,3,2600,go,TAP OVAL,OVAL पर टैप करें,DEW,LOHRI,OVAL,3,mixed,,yes,13
Q000129,daily-007,3,2600,except,TAP BOTH EXCEPT GREY,GREY छोड़कर बाकी दोनों पर टैप करें,GREY,BROOM,KURTA,"2,3",mixed,,no,20
Q000130,daily-007,4,2100,rule,TAP THE FRUIT,फल पर टैप करें,MANGO,HAIL,GREEN,1,fruit,,yes,18
Q000131,daily-007,4,2100,rule,TAP THE EVEN NUMBER,सम संख्या पर टैप करें,54,47,79,1,even,,yes,18
Q000132,daily-007,4,2100,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,MIDDLE,LEFT,RIGHT,3,position,,yes,18
Q000133,daily-007,4,2100,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,LEFT,MIDDLE,RIGHT,1,position,,yes,18
Q000134,daily-007,4,2100,go,TAP COW,COW पर टैप करें,COW,COOK,TRIANGLE,1,mixed,,yes,15
Q000135,daily-007,5,1700,go,TAP 12,12 पर टैप करें,TWELVE,12,17,2,mixed,digit_word,yes,18
Q000136,daily-007,5,1700,go,TAP SHOP,SHOP पर टैप करें,SHOP,FLUTE,DOOR,1,mixed,,yes,18
Q000137,daily-007,5,1700,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,LEFT,RIGHT,MIDDLE,1,position,,yes,21
Q000138,daily-007,5,1700,go,TAP DIWALI,DIWALI पर टैप करें,DIWALI,DIAMOND,EID,1,mixed,,yes,18
Q000139,daily-007,5,1700,rule,TAP THE ANIMAL,जानवर पर टैप करें,BRIDGE,CHALK,CAMEL,3,animal,,yes,21
Q000140,daily-007,5,1700,go,TAP 12,12 पर टैप करें,12,39,TWELVE,1,mixed,digit_word,yes,18
Q000141,daily-008,1,4000,hold,DON'T TAP IF YOU SEE CHENNAI,अगर CHENNAI दिखे तो टैप न करें,EVENING,CHENNAI,WHISTLE,,mixed,no_go,no,15
Q000142,daily-008,1,4000,go,TAP CUSTARD APPLE,CUSTARD APPLE पर टैप करें,ORANGE,CUSTARD APPLE,COW,2,mixed,,no,10
Q000143,daily-008,2,3200,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,RIGHT,LEFT,MIDDLE,3,position,slot_conflict,yes,14
Q000144,daily-008,2,3200,go,TAP FOG,FOG पर टैप करें,FOG,HEART,TRUCK,1,mixed,,no,12
Q000145,daily-008,2,3200,except,TAP BOTH EXCEPT EYE,EYE छोड़कर बाकी दोनों पर टैप करें,EYE,EVENING,STATION,"2,3",mixed,,no,17
Q000146,daily-008,3,2600,except,TAP BOTH EXCEPT RED,RED छोड़कर बाकी दोनों पर टैप करें,RED,VADA,POMEGRANATE,"2,3",mixed,,no,20
Q000147,daily-008,3,2600,except,TAP BOTH EXCEPT OFFICE,OFFICE छोड़कर बाकी दोनों पर टैप करें,BIRYANI,OFFICE,LUCKNOW,"1,3",mixed,,no,20
Q000148,daily-008,3,2600,rule,TAP THE FESTIVAL,त्योहार पर टैप करें,EID,WINDOW,SAREE,1,festival,,no,16
Q000149,daily-008,3,2600,hold,DON'T TAP IF YOU SEE THUNDER,अगर THUNDER दिखे तो टैप न करें,THUNDER,FIELD,STORM,,mixed,no_go,no,20
Q000150,daily-008,4,2100,go,TAP CLOUDY,CLOUDY पर टैप करें,DIAMOND,CLOUDY,PEACOCK,2,mixed,,yes,15
Q000151,daily-008,4,2100,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,MIDDLE,LEFT,RIGHT,2,position,slot_conflict,yes,18
Q000152,daily-008,4,2100,hold,DON'T TAP IF YOU SEE RULER,अगर RULER दिखे तो टैप न करें,FARMER,RULER,BANANA,,mixed,no_go,no,23
Q000153,daily-008,4,2100,go,TAP 3,3 पर टैप करें,3,THREE,87,1,mixed,digit_word,yes,15
Q000154,daily-008,4,2100,rule,TAP THE CITY,शहर पर टैप करें,TRACTOR,PATNA,LEMON,2,city,,yes,18
Q000155,daily-008,5,1700,hold,DON'T TAP IF YOU SEE PEACOCK,अगर PEACOCK दिखे तो टैप न करें,SONG,TAILOR,PEACOCK,,mixed,no_go,no,26
Q000156,daily-008,5,1700,rule,TAP THE ODD NUMBER,विषम संख्या पर टैप करें,20,50,87,3,odd,,yes,21
Q000157,daily-008,5,1700,rule,TAP THE VEHICLE,वाहन पर टैप करें,HOSPITAL,JEEP,MORNING,2,vehicle,,yes,21
Q000158,daily-008,5,1700,rule,TAP THE EVEN NUMBER,सम संख्या पर टैप करें,2,35,85,1,even,,yes,21
Q000159,daily-008,5,1700,go,TAP TWO,TWO पर टैप करें,TWO,2,82,1,mixed,digit_word,yes,18
Q000160,daily-008,5,1700,go,TAP SNAKE,SNAKE पर टैप करें,SNAKE,LEAP,LEAF,1,mixed,lookalike,yes,18
Q000161,daily-009,1,4000,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,LEFT,RIGHT,MIDDLE,3,position,slot_conflict,yes,12
Q000162,daily-009,1,4000,hold,DON'T TAP IF YOU SEE EYE,अगर EYE दिखे तो टैप न करें,GUAVA,DEW,EYE,,mixed,no_go,no,15
Q000163,daily-009,2,3200,except,TAP BOTH EXCEPT PLATE,PLATE छोड़कर बाकी दोनों पर टैप करें,HAIL,METRO,PLATE,"1,2",mixed,,no,17
Q000164,daily-009,2,3200,rule,TAP THE EVEN NUMBER,सम संख्या पर टैप करें,63,21,34,3,even,,no,14
Q000165,daily-009,2,3200,hold,DON'T TAP IF YOU SEE EID,अगर EID दिखे तो टैप न करें,BLUE,EID,CLOUD,,mixed,no_go,no,17
Q000166,daily-009,3,2600,go,TAP SOCKS,SOCKS पर टैप करें,BROOM,SOCKS,THUMB,2,mixed,,yes,13
Q000167,daily-009,3,2600,except,TAP BOTH EXCEPT COW,COW छोड़कर बाकी दोनों पर टैप करें,BROOM,PINK,COW,"1,2",mixed,,no,20
Q000168,daily-009,3,2600,rule,TAP THE SHAPE,आकृति पर टैप करें,STAR,FOOT,BARBER,1,shape,,no,16
Q000169,daily-009,3,2600,go,TAP TOOTH,TOOTH पर टैप करें,RAINY,TOOTH,EID,2,mixed,,yes,13
Q000170,daily-009,4,2100,position,TAP THE WORD LEFT,जिस पर लिखा है LEFT उस पर टैप करें,LEFT,MIDDLE,RIGHT,1,position,,yes,18
Q000171,daily-009,4,2100,go,TAP NIGHT,NIGHT पर टैप करें,BROOM,NIGHT,FRIDAY,2,mixed,,yes,15
Q000172,daily-009,4,2100,except,TAP BOTH EXCEPT STUMPS,STUMPS छोड़कर बाकी दोनों पर टैप करें,KNEE,STUMPS,EVENING,"1,3",mixed,,no,23
Q000173,daily-009,4,2100,rule,TAP THE FESTIVAL,त्योहार पर टैप करें,MOUNTAIN,RULER,ONAM,3,festival,,yes,18
Q000174,daily-009,4,2100,rule,TAP THE EVEN NUMBER,सम संख्या पर टैप करें,27,35,18,3,even,,yes,18
Q000175,daily-009,5,1700,position,TAP THE WORD MIDDLE,जिस पर लिखा है MIDDLE उस पर टैप करें,LEFT,MIDDLE,RIGHT,2,position,,yes,21
Q000176,daily-009,5,1700,hold,DON'T TAP IF YOU SEE KURTA,अगर KURTA दिखे तो टैप न करें,NOSE,PICKLE,DIWALI,"1,2,3",mixed,,no,26
Q000177,daily-009,5,1700,hold,DON'T TAP IF YOU SEE PICKLE,अगर PICKLE दिखे तो टैप न करें,LUCKNOW,SOCKS,KURTA,"1,2,3",mixed,,no,26
Q000178,daily-009,5,1700,go,TAP WHITE,WHITE पर टैप करें,LOHRI,WHITE,BEAT,2,mixed,,yes,18
Q000179,daily-009,5,1700,position,TAP THE WORD RIGHT,जिस पर लिखा है RIGHT उस पर टैप करें,MIDDLE,LEFT,RIGHT,3,position,,yes,21
Q000180,daily-009,5,1700,go,TAP BOOK,BOOK पर टैप करें,SHIRT,BOOT,BOOK,3,mixed,lookalike,yes,18
